Epoch		Loss	Accuracy
Epoch 73300: 0.157355 0.953125
Epoch 73400: 0.164061 0.953125
Epoch 73500: 0.141166 0.953125
Epoch 73600: 0.184354 0.945312
Epoch 73700: 0.186686 0.960938
Epoch 73800: 0.187148 0.929688
Epoch 73900: 0.133048 0.984375
Epoch 74000: 0.191559 0.953125
Epoch 74100: 0.182643 0.953125
Epoch 74200: 0.194826 0.960938
Epoch 74300: 0.222387 0.945312
Epoch 74400: 0.188278 0.953125
Epoch 74500: 0.219229 0.914062
Epoch 74600: 0.152904 0.960938
Epoch 74700: 0.107830 0.976562
Epoch 74800: 0.095481 0.984375
Epoch 74900: 0.156456 0.960938
Epoch 75000: 0.136123 0.953125
Epoch 75100: 0.164630 0.953125
Epoch 75200: 0.141841 0.960938
Epoch 75300: 0.182969 0.960938
Epoch 75400: 0.131754 0.953125
Epoch 75500: 0.189419 0.953125
Epoch 75600: 0.155682 0.976562
Epoch 75700: 0.115507 0.976562
Epoch 75800: 0.180734 0.953125
Epoch 75900: 0.163346 0.968750
Epoch 76000: 0.119382 0.968750
Epoch 76100: 0.128333 0.960938
Epoch 76200: 0.142313 0.960938
Epoch 76300: 0.181332 0.929688
Epoch 76400: 0.130093 0.945312
Epoch 76500: 0.123712 0.976562
Epoch 76600: 0.146723 0.976562
Epoch 76700: 0.161852 0.945312
Epoch 76800: 0.148151 0.960938
Epoch 76900: 0.139424 0.960938
Epoch 77000: 0.118882 0.968750
Epoch 77100: 0.171491 0.953125
Epoch 77200: 0.067711 0.992188
Epoch 77300: 0.103901 0.968750
Epoch 77400: 0.147969 0.960938
Epoch 77500: 0.238797 0.921875
Epoch 77600: 0.179752 0.960938
Epoch 77700: 0.170696 0.953125
Epoch 77800: 0.095171 0.976562
Epoch 77900: 0.182065 0.937500
Epoch 78000: 0.168056 0.937500
Epoch 78100: 0.145021 0.953125
Epoch 78200: 0.077846 0.984375
Epoch 78300: 0.127785 0.960938
Epoch 78400: 0.113862 0.976562
Epoch 78500: 0.126329 0.968750
Epoch 78600: 0.148313 0.945312
Epoch 78700: 0.142762 0.960938
Epoch 78800: 0.123304 0.968750
Epoch 78900: 0.093222 0.984375
Epoch 79000: 0.159058 0.929688
Epoch 79100: 0.160838 0.953125
Epoch 79200: 0.133449 0.968750
Epoch 79300: 0.128121 0.953125
Epoch 79400: 0.085874 0.976562
Epoch 79500: 0.066258 0.992188
Epoch 79600: 0.174706 0.945312
Epoch 79700: 0.094355 0.992188
Epoch 79800: 0.129282 0.968750
Epoch 79900: 0.093981 0.992188
