Epoch		Loss	Accuracy
Epoch 16800: 0.731470 0.742188
Epoch 16900: 0.886477 0.648438
Epoch 17000: 0.791451 0.750000
Epoch 17100: 0.692509 0.742188
Epoch 17200: 0.837841 0.718750
Epoch 17300: 0.751645 0.789062
Epoch 17400: 0.734832 0.734375
Epoch 17500: 0.931440 0.703125
Epoch 17600: 0.971453 0.656250
Epoch 17700: 0.797964 0.742188
Epoch 17800: 0.764628 0.757812
Epoch 17900: 0.888030 0.664062
Epoch 18000: 0.872944 0.648438
Epoch 18100: 0.754832 0.750000
Epoch 18200: 0.797723 0.726562
Epoch 18300: 0.869496 0.656250
Epoch 18400: 0.864491 0.679688
Epoch 18500: 0.706606 0.750000
Epoch 18600: 0.902068 0.695312
Epoch 18700: 0.964473 0.648438
Epoch 18800: 0.871231 0.640625
Epoch 18900: 0.902858 0.671875
Epoch 19000: 0.663880 0.773438
Epoch 19100: 0.790410 0.742188
Epoch 19200: 0.769498 0.750000
Epoch 19300: 0.803162 0.710938
Epoch 19400: 0.774693 0.718750
Epoch 19500: 0.752422 0.710938
Epoch 19600: 0.878715 0.695312
Epoch 19700: 0.734835 0.687500
Epoch 19800: 0.881953 0.695312
Epoch 19900: 0.624201 0.773438
Epoch 20000: 0.773557 0.781250
Epoch 20100: 0.654515 0.804688
Epoch 20200: 0.764649 0.742188
Epoch 20300: 0.691648 0.750000
Epoch 20400: 0.757269 0.718750
Epoch 20500: 0.701755 0.773438
Epoch 20600: 0.848349 0.695312
Epoch 20700: 0.803852 0.703125
Epoch 20800: 0.876524 0.703125
Epoch 20900: 0.744037 0.726562
Epoch 21000: 0.797348 0.726562
Epoch 21100: 0.678266 0.742188
Epoch 21200: 0.833553 0.726562
Epoch 21300: 0.821613 0.687500
Epoch 21400: 0.773180 0.726562
Epoch 21500: 0.574711 0.781250
Epoch 21600: 0.744943 0.718750
Epoch 21700: 0.584323 0.789062
Epoch 21800: 0.737988 0.726562
Epoch 21900: 0.817320 0.695312
Epoch 22000: 0.551372 0.804688
Epoch 22100: 0.646455 0.773438
Epoch 22200: 0.750661 0.757812
Epoch 22300: 0.814825 0.718750
Epoch 22400: 0.653427 0.804688
Epoch 22500: 0.822966 0.687500
Epoch 22600: 0.958102 0.625000
Epoch 22700: 0.798143 0.703125
Epoch 22800: 0.877547 0.695312
Epoch 22900: 0.510182 0.820312
Epoch 23000: 0.865892 0.671875
Epoch 23100: 0.765860 0.710938
Epoch 23200: 0.904311 0.679688
Epoch 23300: 0.777023 0.695312
Epoch 23400: 0.767559 0.765625
Epoch 23500: 0.746395 0.703125
Epoch 23600: 0.664381 0.773438
Epoch 23700: 0.731350 0.765625
Epoch 23800: 0.742592 0.710938
Epoch 23900: 0.571647 0.781250
Epoch 24000: 0.646752 0.750000
Epoch 24100: 0.720526 0.750000
Epoch 24200: 0.722220 0.750000
Epoch 24300: 0.668062 0.765625
Epoch 24400: 0.474152 0.843750
Epoch 24500: 0.704218 0.750000
Epoch 24600: 0.675478 0.765625
Epoch 24700: 0.593666 0.835938
Epoch 24800: 0.575587 0.812500
Epoch 24900: 0.938367 0.695312
Epoch 25000: 0.717367 0.742188
Epoch 25100: 0.643703 0.765625
Epoch 25200: 0.804654 0.664062
Epoch 25300: 0.635626 0.796875
Epoch 25400: 0.763560 0.687500
Epoch 25500: 0.765283 0.710938
Epoch 25600: 0.688939 0.750000
Epoch 25700: 0.772294 0.687500
Epoch 25800: 0.639123 0.765625
Epoch 25900: 0.649390 0.757812
Epoch 26000: 0.657071 0.757812
Epoch 26100: 0.696687 0.765625
Epoch 26200: 0.462815 0.835938
Epoch 26300: 0.558927 0.789062
